Date,Open,High,Low,Close,Volume
04/17/2025,"871.05","890.13","866.17","875.78","1,034,367"
04/16/2025,"881.24","886.90","855.22","865.78","591,515"
04/15/2025,"888.90","900.75","886.23","888.44","516,567"
04/14/2025,"897.27","900.00","879.59","889.95","970,305"
04/11/2025,"848.17","888.55","840.50","878.78","963,023"
04/10/2025,"879.49","880.41","833.10","858.78","1,235,574"
04/09/2025,"800.54","904.91","799.15","897.08","1,821,481"
04/08/2025,"849.30","856.80","805.00","815.72","1,812,388"
04/07/2025,"789.63","846.22","773.74","817.50","1,654,123"
04/04/2025,"852.88","860.52","811.16","822.62","1,615,116"
04/03/2025,"918.56","928.21","887.16","887.65","903,345"
04/02/2025,"934.03","965.96","934.03","961.84","490,262"
04/01/2025,"945.91","957.38","931.41","944.08","668,731"
03/31/2025,"933.60","949.37","920.45","946.48","1,195,465"
03/28/2025,"966.24","967.65","945.77","946.70","569,047"
03/27/2025,"965.51","976.80","957.50","967.94","479,155"
03/26/2025,"975.00","980.20","964.00","968.24","667,848"
03/25/2025,"970.48","977.28","961.86","973.48","566,717"
03/24/2025,"960.65","972.99","957.00","963.50","640,165"
03/21/2025,"948.00","956.34","938.17","951.73","5,211,797"
03/20/2025,"952.69","961.63","949.52","954.17","668,049"
03/19/2025,"959.68","966.00","951.00","957.23","1,086,897"
03/18/2025,"957.63","964.57","956.01","958.62","1,086,482"
03/17/2025,"937.13","960.94","933.37","958.00","922,636"
03/14/2025,"915.02","929.10","907.92","928.70","623,759"
03/13/2025,"913.02","913.50","898.26","900.46","656,796"
03/12/2025,"920.00","923.53","903.54","910.06","630,156"
03/11/2025,"912.13","922.97","904.95","910.37","963,132"
03/10/2025,"918.10","931.78","901.53","915.26","1,069,523"
03/07/2025,"953.03","953.03","918.99","946.92","1,180,886"
03/06/2025,"957.63","969.01","948.73","959.64","698,204"
03/05/2025,"964.00","969.66","947.85","968.14","837,827"
03/04/2025,"952.36","964.58","933.34","951.79","1,040,301"
03/03/2025,"979.84","990.79","958.84","966.47","767,212"
02/28/2025,"943.18","980.48","942.01","977.78","1,412,644"
02/27/2025,"959.10","969.99","943.50","944.89","675,324"
02/26/2025,"956.50","967.11","952.28","953.77","614,369"
02/25/2025,"957.95","966.12","945.86","958.01","1,004,063"
02/24/2025,"975.35","982.28","948.11","952.80","1,141,587"
02/21/2025,"992.49","993.21","971.01","974.22","1,253,962"
02/20/2025,"986.50","991.32","974.02","989.38","769,665"
