Date,Price,Open,High,Low,Vol.,Change %
4/18/2025,298.85,298.85,298.85,298.85,,0.00%
4/17/2025,298.85,298.7,299.2,298.5,,0.15%
4/16/2025,298.4,298.25,298.875,298.15,,0.17%
4/15/2025,297.9,297.9,297.9,297.9,,0.00%
4/14/2025,297.9,297.9,297.9,297.9,,0.00%
4/11/2025,297.9,297.25,298.425,297.025,,0.30%
4/10/2025,297,301,301,296.5,,-1.25%
4/9/2025,300.75,299.375,302,299.375,,0.42%
4/8/2025,299.5,297.625,300.075,297.5,,0.59%
4/7/2025,297.75,296.85,298.25,296.8,,0.39%
4/4/2025,296.6,296.675,296.975,296.375,,-0.07%
4/3/2025,296.8,297,297.425,296.5,,0.27%
4/2/2025,296,296.05,296.1,295.95,,0.00%
4/1/2025,296,296.15,296.225,296.05,,-0.05%
3/31/2025,296.15,296.15,296.15,296.15,,0.00%
3/28/2025,296.15,296.3,296.375,296.15,,-0.02%
3/27/2025,296.2,296.25,296.4,296.2,,-0.02%
3/26/2025,296.26,296.4,296.475,296.25,,-0.05%
3/25/2025,296.4,296.625,296.875,296.375,,-0.08%
3/24/2025,296.65,296.6,296.8,296.45,,0.12%
3/21/2025,296.3,296.25,296.65,296.2,,-0.03%
3/20/2025,296.4,296.1,296.75,296.1,,0.03%
3/19/2025,296.3,295.85,296.45,295.8,,0.10%
3/18/2025,296,296.375,296.375,295.8,,-0.10%
3/17/2025,296.3,296.25,296.55,295.85,,0.00%
3/14/2025,296.3,295.3,296.4,295.3,,0.34%
3/13/2025,295.3,295.3,295.3,295.3,,0.00%
3/12/2025,295.3,295.35,295.525,295.25,,-0.03%
3/11/2025,295.4,295.45,295.605,295.275,,0.00%
3/10/2025,295.4,295.45,295.525,295.225,,0.00%
3/7/2025,295.4,295.4,295.6,295.175,,-0.03%
3/6/2025,295.5,295.55,295.75,295.275,,0.10%
3/5/2025,295.2,295.1,295.375,295.075,,0.02%
3/4/2025,295.15,295.2,295.35,295.075,,-0.02%
3/3/2025,295.2,295.2,295.45,295.1,,0.00%
2/28/2025,295.2,295.3,295.525,295.2,,-0.02%
2/27/2025,295.25,295.6,295.625,295.275,,-0.08%
2/26/2025,295.5,295.5,295.5,295.5,,0.00%
